# Time,Signal
7.3232,3.2427
7.3434,3.6631
7.3636,2.5413
7.3838,0.4360
7.4040,0.0067
7.4242,0.0968
7.4444,0.8241
7.4646,0.3048
7.4848,1.1781
7.5051,0.0128
7.5253,3.4163
7.5455,3.3000
7.5657,1.4528
7.5859,3.5652
7.6061,2.3036
7.6263,3.0036
7.6465,2.3227
7.6667,0.9014
7.6869,4.3260
7.7071,3.3907
7.7273,3.7138
7.7475,-0.5775
7.7677,1.1524
7.7879,1.2287
7.8081,-0.4915
7.8283,-0.1334
7.8485,0.4420
7.8687,3.6246
7.8889,-0.7452
7.9091,0.6355
7.9293,3.1370
7.9495,1.6045
7.9697,3.7507
7.9899,4.1288
8.0101,2.9104
8.0303,2.7876
8.0505,1.8761
8.0707,-0.1605
8.0909,0.7232
8.1111,1.9502
8.1313,-0.9295
8.1515,-0.9097
8.1717,-0.9092
8.1919,1.4699
8.2121,1.5382
8.2323,3.8290
8.2525,2.1831
8.2727,-0.5735
8.2929,3.5383
8.3131,3.6723
8.3333,-0.5153
8.3535,0.7270
8.3737,-0.3210
8.3939,-0.6046
8.4141,3.1510
8.4343,0.5198
8.4545,3.7544
8.4747,1.0540
8.4949,3.9029
8.5152,-0.8000
8.5354,2.2961
8.5556,-0.4922
8.5758,2.2697
8.5960,1.8274
8.6162,2.6171
8.6364,3.2379
8.6566,2.1263
8.6768,1.2277
8.6970,1.7838
8.7172,-0.5301
8.7374,1.8343
8.7576,1.6145
8.7778,2.9330
8.7980,3.3654
8.8182,0.3844
8.8384,1.4716
8.8586,-0.4234
8.8788,0.3269
8.8990,0.3136
8.9192,1.8045
8.9394,-0.6292
8.9596,0.2683
8.9798,1.0973
9.0000,-0.2884
9.0202,3.3753
9.0404,0.1491
9.0606,0.0567
9.0808,1.9338
9.1010,-0.1179
9.1212,0.7804
9.1414,2.1615
9.1616,2.6535
9.1818,3.4116
9.2020,3.6389
9.2222,2.0487
9.2424,1.8073
9.2626,4.1950
9.2828,3.7760
9.3030,2.5398
9.3232,3.6199
9.3434,-0.2474
9.3636,-0.2093
9.3838,3.5960
9.4040,2.9503
9.4242,2.1763
9.4444,1.4866
9.4646,3.8596
9.4848,1.0293
9.5051,1.2301
9.5253,1.7395
9.5455,3.0218
9.5657,2.9644
9.5859,1.5027
9.6061,3.8452
9.6263,4.2078
9.6465,0.9450
9.6667,2.1039
9.6869,1.1182
9.7071,3.6611
9.7273,1.3723
9.7475,3.5126
9.7677,2.5424
9.7879,2.6112
9.8081,0.5815
9.8283,3.1535
9.8485,1.2863
9.8687,2.6213
9.8889,0.9604
9.9091,5.1026
9.9293,3.3853
9.9495,3.9875
9.9697,2.5935
9.9899,0.8416
10.0101,2.8011
10.0303,3.8261
10.0505,2.9383
10.0707,1.2621
10.0909,1.1805
10.1111,2.6538
10.1313,1.0619
10.1515,1.5183
10.1717,4.8098
10.1919,3.7449
10.2121,2.2496
10.2323,2.8615
10.2525,1.3681
10.2727,5.8623
10.2929,2.8121
10.3131,1.3969
10.3333,4.0415
10.3535,4.8241
10.3737,2.0284
10.3939,4.8837
10.4141,3.3533
10.4343,1.7316
10.4545,2.6665
10.4747,2.0475
10.4949,1.3258
10.5152,1.9659
10.5354,5.7512
10.5556,4.6210
10.5758,5.1148
10.5960,2.6406
10.6162,4.1721
10.6364,4.0560
10.6566,4.0538
10.6768,4.9615
10.6970,0.9738
10.7172,3.2070
10.7374,2.9508
10.7576,4.5073
10.7778,3.0443
10.7980,5.6248
10.8182,2.4069
10.8384,5.5499
10.8586,1.8112
10.8788,3.7968
10.8990,4.2809
10.9192,1.5522
10.9394,3.4637
10.9596,2.1200
10.9798,2.8592
11.0000,5.6141
11.0202,3.3532
11.0404,2.4235
11.0606,1.6297
11.0808,5.1169
11.1010,0.8275
11.1212,2.3650
11.1414,3.1445
11.1616,5.0041
11.1818,5.7285
11.2020,5.6400
11.2222,4.0862
11.2424,3.4332
11.2626,5.7477
11.2828,1.9676
11.3030,1.1959
11.3232,1.7361
11.3434,5.1710
11.3636,1.5444
11.3838,5.4771
11.4040,1.8101
11.4242,4.5909
11.4444,4.4274
11.4646,1.1551
11.4848,4.5856
11.5051,4.9289
11.5253,4.7502
11.5455,4.4983
11.5657,4.8666
11.5859,1.1044
11.6061,1.6123
11.6263,1.6167
11.6465,4.2777
11.6667,1.7131
11.6869,5.3989
11.7071,5.4763
11.7273,3.7167
11.7475,3.4468
11.7677,0.7631
11.7879,3.0701
11.8081,4.0077
11.8283,5.3130
11.8485,2.8671
11.8687,2.3898
11.8889,3.0744
11.9091,2.7370
11.9293,1.3810
11.9495,4.7342
11.9697,3.8896
11.9899,4.1311
12.0101,4.1692
12.0303,0.8616
12.0505,1.4989
12.0707,2.2202
12.0909,1.2078
12.1111,2.7207
12.1313,4.4877
12.1515,3.6555
12.1717,1.9594
12.1919,3.5136
12.2121,5.4614
12.2323,3.2101
12.2525,1.4857
12.2727,3.3876
12.2929,5.2061
12.3131,2.5262
12.3333,5.9667
12.3535,4.5761
12.3737,4.6794
12.3939,4.3711
12.4141,5.9415
12.4343,5.3426
12.4545,2.3047
12.4747,1.8482
12.4949,4.6248
12.5152,1.2491
12.5354,1.6597
12.5556,4.0172
12.5758,3.2348
12.5960,3.5016
12.6162,3.7202
12.6364,3.5071
12.6566,3.6767
12.6768,1.7831
12.6970,5.8817
12.7172,2.6626
12.7374,3.6976
12.7576,3.6757
12.7778,5.5974
12.7980,1.9195
12.8182,5.2938
12.8384,4.4459
12.8586,6.4238
12.8788,4.7083
12.8990,5.5992
12.9192,5.9170
12.9394,5.9264
12.9596,4.2433
12.9798,4.8593
13.0000,2.2807
13.0202,5.9382
13.0404,6.2508
13.0606,4.1943
13.0808,4.5436
13.1010,2.8984
13.1212,6.1151
13.1414,2.5187
13.1616,6.4893
13.1818,5.4939
13.2020,2.4532
13.2222,1.6232
13.2424,1.8177
13.2626,5.6789
13.2828,2.7804
13.3030,1.7246
13.3232,5.1213
13.3434,5.0962
13.3636,3.3342
13.3838,6.4548
13.4040,2.2279
13.4242,6.4352
13.4444,3.9458
13.4646,3.8112
13.4848,5.7771
13.5051,3.6049
13.5253,1.9043
13.5455,6.0723
13.5657,4.5554
13.5859,2.4749
13.6061,6.0375
13.6263,3.0325
13.6465,4.4039
13.6667,5.0826
13.6869,4.2488
13.7071,1.5627
13.7273,6.0513
13.7475,3.2125
13.7677,2.1295
13.7879,4.7210
13.8081,2.7732
13.8283,3.6728
13.8485,5.2083
13.8687,1.1776
13.8889,1.8212
13.9091,4.6517
13.9293,2.2528
13.9495,2.8735
13.9697,3.0571
13.9899,2.8193
14.0101,4.1791
14.0303,4.6728
14.0505,3.7764
14.0707,0.8975
14.0909,3.1941
14.1111,0.6851
14.1313,1.9444
14.1515,3.7615
14.1717,2.2688
14.1919,3.3601
14.2121,4.0215
14.2323,3.0730
14.2525,0.8226
14.2727,1.8362
14.2929,3.6318
14.3131,0.7556
14.3333,2.1551
14.3535,3.5575
14.3737,0.7083
14.3939,4.0691
14.4141,3.3301
14.4343,4.8407
14.4545,2.1710
14.4747,4.9320
14.4949,3.9811
14.5152,4.4136
14.5354,4.6023
14.5556,2.6513
14.5758,0.1189
14.5960,2.6753
14.6162,0.0661
14.6364,2.3665
14.6566,2.4309
14.6768,0.3423
14.6970,-0.1132
14.7172,4.6224
14.7374,3.1171
14.7576,3.2251
14.7778,1.0719
14.7980,-0.3304
14.8182,1.3617
14.8384,4.3991
14.8586,0.0874
14.8788,2.7829
14.8990,1.3074
14.9192,-0.2195
14.9394,3.3733
14.9596,2.2653
14.9798,0.6974
15.0000,3.0717
15.0202,0.3855
15.0404,3.8237
15.0606,-0.1910
15.0808,-0.1491
15.1010,2.1519
15.1212,3.8421
15.1414,2.5755
15.1616,2.8854
15.1818,1.9076
15.2020,0.0734
15.2222,3.5284
15.2424,2.6714
15.2626,1.3599
15.2828,3.4674
15.3030,1.2409
15.3232,1.7090
15.3434,3.2365
15.3636,1.1626
15.3838,2.5878
15.4040,2.5891
15.4242,-0.2423
15.4444,2.2897
15.4646,1.3990
15.4848,1.8418
15.5051,0.0385
15.5253,3.0960
15.5455,3.3440
15.5657,1.1403
15.5859,0.0379
15.6061,2.6932
15.6263,4.1349
15.6465,4.0184
15.6667,4.4217
15.6869,1.6319
15.7071,2.4956
15.7273,4.1495
15.7475,0.4771
15.7677,3.6016
15.7879,3.9137
15.8081,2.1336
15.8283,3.2077
15.8485,3.0136
15.8687,3.5823
15.8889,4.0939
15.9091,4.5273
15.9293,2.3497
15.9495,0.7075
15.9697,2.4681
15.9899,0.0318
16.0101,3.9993
16.0303,-0.1019
16.0505,1.1461
16.0707,2.4023
16.0909,1.9336
16.1111,1.0350
16.1313,1.1576
16.1515,3.4267
16.1717,0.1990
16.1919,1.4700
16.2121,3.3135
16.2323,4.1361
16.2525,1.1630
16.2727,2.8093
16.2929,1.5348
16.3131,1.3782
16.3333,1.7521
16.3535,0.8928
16.3737,3.5740
16.3939,2.7721
16.4141,3.7699
16.4343,2.1240
16.4545,4.2120
16.4747,3.5171
16.4949,0.2145
16.5152,4.5318
16.5354,0.8734
16.5556,4.6138
16.5758,4.4192
16.5960,3.2981
16.6162,-0.0980
16.6364,3.1350
16.6566,1.9073
16.6768,1.7357
16.6970,1.2394
16.7172,0.6464
16.7374,3.0599
16.7576,4.1253
16.7778,0.4507
16.7980,1.5160
16.8182,0.1353
16.8384,-0.2581
16.8586,2.6942
16.8788,4.0994
16.8990,1.3475
16.9192,4.5069
16.9394,1.2323
16.9596,0.8341
16.9798,2.4337
17.0000,0.0257
17.0202,2.6968
17.0404,3.4328
17.0606,2.5279
17.0808,1.0762
17.1010,3.9612
17.1212,4.2974
17.1414,1.8958
17.1616,4.2269
17.1818,2.4869
17.2020,3.6645
17.2222,1.1294
17.2424,-0.0455
17.2626,0.2570
17.2828,4.2579
17.3030,3.5117
17.3232,3.0842
17.3434,3.0185
17.3636,3.8973
17.3838,3.1758
17.4040,-0.3717
17.4242,2.7817
17.4444,2.4720
17.4646,0.2409
17.4848,3.8637
17.5051,0.4265
17.5253,1.5959
17.5455,3.5102
17.5657,3.9297
17.5859,0.1977
17.6061,3.5788
17.6263,-0.4195
17.6465,1.7426
17.6667,0.4370
17.6869,2.3941
17.7071,3.1209
17.7273,1.0044
17.7475,0.8181
17.7677,-0.7647
17.7879,2.7658
17.8081,0.0609
17.8283,0.7757
17.8485,1.0749
17.8687,0.6154
17.8889,-0.2488
17.9091,1.6756
17.9293,1.9401
17.9495,0.3167
17.9697,2.7526
17.9899,-0.6714
18.0101,1.4835
18.0303,-0.4518
18.0505,2.3582
18.0707,3.0731
18.0909,1.3780
18.1111,3.6989
18.1313,1.8346
18.1515,1.4126
18.1717,-0.3615
18.1919,-0.5092
18.2121,2.0856
18.2323,-0.9262
18.2525,0.1671
18.2727,2.6058
18.2929,0.8543
18.3131,3.1530
18.3333,1.4999
18.3535,-0.1517
18.3737,0.4081
18.3939,-0.7740
18.4141,1.2170
18.4343,2.5156
18.4545,-0.0553
18.4747,-0.8285
18.4949,2.5286
18.5152,-0.0212
18.5354,0.3139
18.5556,2.3880
18.5758,2.5729
18.5960,-0.5702
18.6162,-0.3743
18.6364,3.7585
18.6566,-0.4860
18.6768,1.2387
18.6970,4.1376
18.7172,-0.7050
18.7374,-0.7260
18.7576,0.7831
18.7778,2.9485
18.7980,2.7119
18.8182,3.4236
18.8384,0.3151
18.8586,4.1914
18.8788,1.9571
18.8990,2.3856
18.9192,0.8553
18.9394,3.3711
18.9596,2.2409
18.9798,2.8541
19.0000,3.8398
19.0202,2.5555
19.0404,-0.1441
19.0606,1.2621
19.0808,3.6652
19.1010,2.3584
19.1212,-0.1255
19.1414,3.1412
19.1616,0.6810
19.1818,-0.3613
19.2020,0.9332
19.2222,2.5361
19.2424,3.7047
19.2626,2.3036
19.2828,3.0402
19.3030,4.2234
19.3232,1.1430
19.3434,0.9083
19.3636,3.8257
19.3838,2.6198
19.4040,2.0883
19.4242,0.7203
19.4444,3.2185
19.4646,0.7777
19.4848,3.8109
19.5051,0.4551
19.5253,3.7546
19.5455,2.4296
19.5657,2.6293
19.5859,0.4604
19.6061,0.9370
19.6263,2.7006
19.6465,1.0389
19.6667,4.0745
19.6869,1.8369
19.7071,0.1828
19.7273,4.5988
19.7475,3.8450
19.7677,4.0952
19.7879,3.0515
19.8081,2.1217
19.8283,1.8345
19.8485,3.2324
19.8687,3.2762
19.8889,3.1710
19.9091,-0.0250
19.9293,2.5884
19.9495,0.2114
19.9697,3.5085
19.9899,4.0577
20.0101,3.8287
20.0303,1.9642
20.0505,3.1583
20.0707,3.2282
20.0909,3.4759
20.1111,4.1437
20.1313,3.9483
20.1515,4.0729
20.1717,-0.1757
20.1919,2.5205
20.2121,0.2742
20.2323,2.7701
20.2525,0.0774
20.2727,0.9075
20.2929,0.0908
20.3131,1.5877
20.3333,4.3508
20.3535,-0.3286
20.3737,0.0988
20.3939,3.0341
20.4141,-0.3069
20.4343,3.5526
20.4545,1.7804
20.4747,1.9003
20.4949,1.5142
20.5152,2.0699
20.5354,-0.5521
20.5556,3.9391
20.5758,3.2184
20.5960,3.3938
20.6162,1.1840
20.6364,-0.4192
20.6566,1.6021
20.6768,3.1654
20.6970,2.2961
20.7172,-0.3102
20.7374,-0.4467
20.7576,2.5128
20.7778,3.1157
20.7980,2.4297
20.8182,1.1753
20.8384,0.6970
20.8586,-0.4105
20.8788,2.0436
20.8990,0.5633
20.9192,3.4193
20.9394,-0.0874
20.9596,0.5548
20.9798,1.3808
21.0000,0.9763
21.0202,3.2733
21.0404,2.8743
21.0606,-0.9693
21.0808,3.2312
21.1010,1.2639
21.1212,1.6523
21.1414,1.3105
21.1616,3.8296
21.1818,2.3586
21.2020,2.5112
21.2222,0.7175
21.2424,-0.2098
21.2626,2.2481
21.2828,1.1652
21.3030,2.3104
21.3232,1.8581
21.3434,1.0903
21.3636,2.9993
21.3838,-0.0849
21.4040,0.5303
21.4242,2.3452
21.4444,1.7146
21.4646,2.7744
21.4848,2.7519
21.5051,4.6902
21.5253,3.4655
21.5455,3.9728
21.5657,0.6991
21.5859,5.3919
21.6061,3.7350
21.6263,0.8158
21.6465,3.5776
21.6667,2.7019
21.6869,2.4806
21.7071,1.9624
21.7273,3.4310
21.7475,1.7132
21.7677,3.3103
21.7879,3.0087
21.8081,3.0516
21.8283,4.2030
21.8485,4.4486
21.8687,4.4741
21.8889,4.0854
21.9091,5.5199
21.9293,6.3840
21.9495,6.8774
21.9697,6.8521
21.9899,6.5602
22.0101,3.7435
22.0303,4.2095
22.0505,5.9836
22.0707,4.9438
22.0909,3.6149
22.1111,6.7230
22.1313,3.4657
22.1515,7.1807
22.1717,5.3128
22.1919,4.9429
22.2121,5.8966
22.2323,5.8572
22.2525,8.5587
22.2727,8.7687
22.2929,4.0679
22.3131,6.5261
22.3333,4.0813
22.3535,7.9129
22.3737,5.1438
22.3939,9.2620
22.4141,8.6749
22.4343,9.2637
22.4545,7.4534
22.4747,8.6353
22.4949,9.5480
22.5152,9.4861
22.5354,5.6310
22.5556,7.9061
22.5758,10.0540
22.5960,6.3839
22.6162,5.7191
22.6364,5.8785
22.6566,6.2362
22.6768,5.7654
22.6970,10.0369
22.7172,7.6013
22.7374,10.5864
22.7576,8.4207
22.7778,8.4959
22.7980,8.9602
22.8182,10.6715
22.8384,7.1306
22.8586,9.2999
22.8788,10.1236
22.8990,8.1629
22.9192,6.1831
22.9394,8.7843
22.9596,9.2407
22.9798,6.9798
23.0000,9.5988
23.0202,10.1595
23.0404,10.4683
23.0606,11.0675
23.0808,9.3521
23.1010,9.7202
23.1212,7.0453
23.1414,10.8992
23.1616,9.2547
23.1818,8.8232
23.2020,9.7779
23.2222,11.2845
23.2424,9.3616
23.2626,9.2673
23.2828,7.2414
23.3030,11.0489
23.3232,7.4963
23.3434,8.0708
23.3636,11.2447
23.3838,10.0212
23.4040,9.8297
23.4242,9.6048
23.4444,8.4135
23.4646,9.5894
23.4848,7.7539
23.5051,11.8735
23.5253,11.5162
23.5455,11.1223
23.5657,8.0693
23.5859,8.5265
23.6061,12.0201
23.6263,9.5909
23.6465,9.1363
23.6667,11.6616
23.6869,10.2830
23.7071,8.0376
23.7273,8.4446
23.7475,7.8511
23.7677,7.7390
23.7879,10.7715
23.8081,11.4487
23.8283,9.9287
23.8485,7.7259
23.8687,8.1612
23.8889,8.6861
23.9091,10.6914
23.9293,12.1100
23.9495,7.5714
23.9697,12.1593
23.9899,12.1332
24.0101,8.2705
24.0303,9.7885
24.0505,10.4755
24.0707,8.1359
24.0909,10.6440
24.1111,9.0972
24.1313,12.4755
24.1515,10.9311
24.1717,11.1656
24.1919,8.4392
24.2121,11.2875
24.2323,10.4810
24.2525,11.6004
24.2727,9.6536
24.2929,8.4488
24.3131,11.2655
24.3333,12.6668
24.3535,10.2809
24.3737,11.9078
24.3939,7.8237
24.4141,11.5519
24.4343,11.1406
24.4545,9.6835
24.4747,11.0563
24.4949,7.8470
24.5152,10.3607
24.5354,12.4099
24.5556,8.6092
24.5758,8.6944
24.5960,10.5877
24.6162,9.1731
24.6364,10.5921
24.6566,8.6698
24.6768,9.7089
24.6970,11.4968
24.7172,10.6203
24.7374,10.7374
24.7576,9.0956
24.7778,11.5749
24.7980,12.5758
24.8182,8.1097
24.8384,10.2715
24.8586,9.9878
24.8788,9.6864
24.8990,12.5382
24.9192,10.7499
24.9394,8.9815
24.9596,9.4879
24.9798,10.0802
25.0000,8.9966
25.0202,12.6021
25.0404,9.1473
25.0606,8.2187
25.0808,8.7908
25.1010,9.9371
25.1212,10.4945
25.1414,12.0563
25.1616,8.5621
25.1818,10.5768
25.2020,10.8887
25.2222,8.3693
25.2424,12.6962
25.2626,9.3027
25.2828,11.7343
25.3030,12.1292
25.3232,9.0747
25.3434,7.9561
25.3636,7.9849
25.3838,7.9783
25.4040,7.8210
25.4242,11.3129
25.4444,11.0286
25.4646,8.1208
25.4848,9.6040
25.5051,8.9290
25.5253,8.3874
25.5455,8.4946
25.5657,11.0802
25.5859,11.5752
25.6061,8.3439
25.6263,10.4927
25.6465,8.9595
25.6667,9.3013
25.6869,11.1060
25.7071,8.4325
25.7273,10.1622
25.7475,9.8413
25.7677,10.5490
25.7879,9.0935
25.8081,11.1384
25.8283,10.9488
25.8485,8.3610
25.8687,9.9246
25.8889,7.1987
25.9091,11.4816
25.9293,7.4946
25.9495,8.9244
25.9697,10.4232
25.9899,10.8036
26.0101,7.1516
26.0303,9.4441
26.0505,6.9432
26.0707,9.4044
26.0909,10.0535
26.1111,6.5678
26.1313,8.6896
26.1515,7.9563
26.1717,8.4206
26.1919,5.8757
26.2121,8.1377
26.2323,6.6319
26.2525,7.7156
26.2727,9.3828
26.2929,7.9652
26.3131,6.7384
26.3333,7.8413
26.3535,6.4403
26.3737,9.7227
26.3939,6.2599
26.4141,6.9714
26.4343,6.3171
26.4545,6.7089
26.4747,4.7307
26.4949,8.6747
26.5152,7.2302
26.5354,5.9305
26.5556,5.9646
26.5758,6.2216
26.5960,5.8439
26.6162,8.6356
26.6364,4.4921
26.6566,7.8536
26.6768,4.6478
26.6970,8.1133
26.7172,4.6223
26.7374,6.3581
26.7576,6.6099
26.7778,7.3151
26.7980,6.7593
26.8182,3.8286
26.8384,3.5953
26.8586,3.9168
26.8788,6.1692
26.8990,7.3756
26.9192,6.4659
26.9394,3.6373
26.9596,3.8029
26.9798,6.2994
27.0000,3.4145
27.0202,6.1465
27.0404,6.1632
27.0606,3.4492
27.0808,1.7701
27.1010,5.5367
27.1212,3.2755
27.1414,2.6155
27.1616,3.5622
27.1818,1.3698
27.2020,5.6732
27.2222,4.6037
27.2424,0.8024
27.2626,3.7838
27.2828,3.1824
27.3030,1.7392
27.3232,4.8966
27.3434,2.5751
27.3636,3.0756
27.3838,4.8833
27.4040,1.0383
27.4242,1.1208
27.4444,2.7875
27.4646,3.8946
27.4848,2.6258
27.5051,4.1854
27.5253,3.0710
27.5455,3.0607
27.5657,0.0109
27.5859,0.1486
27.6061,3.8940
27.6263,2.8563
27.6465,-0.3051
27.6667,0.4214
27.6869,1.9069
27.7071,0.0178
27.7273,0.8302
27.7475,0.6913
27.7677,-0.4255
27.7879,3.9917
27.8081,1.4634
27.8283,1.1784
27.8485,4.1562
27.8687,-0.4046
27.8889,2.0108
27.9091,0.2680
27.9293,4.2029
27.9495,2.9594
27.9697,2.2336
27.9899,-0.4300
28.0101,2.8834
28.0303,-0.2434
28.0505,0.0165
28.0707,0.5633
28.0909,3.8353
28.1111,-0.2801
28.1313,4.2893
28.1515,0.0928
28.1717,0.4794
28.1919,2.2110
28.2121,1.8329
28.2323,4.5158
28.2525,0.3588
28.2727,1.3645
28.2929,3.3318
28.3131,1.6591
28.3333,0.1989
28.3535,3.0046
28.3737,1.5056
28.3939,1.5073
28.4141,1.5278
28.4343,0.3915
28.4545,3.9641
28.4747,3.9580
28.4949,2.8374
28.5152,2.1722
28.5354,4.7227
28.5556,0.5461
28.5758,1.2422
28.5960,-0.1931
28.6162,0.8703
28.6364,3.0052
28.6566,1.2824
28.6768,3.6310
28.6970,-0.0716
28.7172,2.0537
28.7374,0.5752
28.7576,2.0374
28.7778,0.9767
28.7980,0.2776
28.8182,2.1724
28.8384,2.4161
28.8586,4.7832
28.8788,1.6555
28.8990,1.8148
28.9192,1.1886
28.9394,4.1589
28.9596,0.3192
28.9798,1.2118
29.0000,4.6766
29.0202,3.5895
